culture,location,lat,long,urban,identifier
Afrocolombians,"Choco, Colombia",4.805564,-75.730921,0,ACO
Arawak,Guyana,6.533167,-58.210083,0,ARA
Hadza,"Lake Eyasi, TZ",-3.86,34.98,0,HAD
Jenu Kurubas,Tiruvannamalai,12.0314,76.1207,0,JEN
Mbendjele,Republic of Congo,1.598167,16.6945,0,MBE
Mentawai Islanders,Siberut Island,1.572028,99.056528,0,MEN
Colombian Mestizos,"Choco, Colombia",4.805564,-75.730921,0,MES
Wellington,"Wellington, NZ",-41.288889,174.777222,1,WEL
Nyangatom,"Jinka, Ethiopia",5.28,35.86,0,NYA
Enga,"Wabag, PNG",-5.491944,143.721667,0,PNG
Quechua,"Huatasani, Peru",-15.797194,-70.011389,0,QUE
Rural Polish,Southern Poland,49.664295,21.049805,0,LIM
Sapara & Achuar,"Conambo, Ecuador",1.871042,-76.880303,0,SPA
Turku,"Turku, Finland",60.45,22.266667,1,TUR
Toposa,"Jinka, Ethiopia",5.28,35.86,0,TOP
Tsimane,Bolivia,-15.115675,-66.53711,0,TSI
Beijing,"Beijing, China",39.916667,116.383333,1,BEJ
Krakow,"Krakow, Poland",50.061389,19.937222,1,KRA
San Diego,"San Diego, California",32.715,-117.1625,1,USD
Toronto,Toronto,43.741667,-79.373333,1,TOR
Tannese Vanuatuans,Tanna Island,-19.51,-169.356,0,VAN
